GameIndex,Date,White,Black,WhiteElo,BlackElo,ECO,Scores
1,2021.04.10,alexcondit,Gez1988,1481,1420,C00,"[33, 41, 65, -52, 56, 20, 58, 47, 33, 67, 103, -15, 118, -22, -14, -14, 3, -45, 483, 535, 560, 590, 620, 614, 717, 597, 658, 622, 676, 509, 588, 602, 651, 631, 608, 520, 577, 576, 555, 470, 634, 616, 1000, 1000, 1000, -1000]"
5,2021.04.10,Luigi1969,isai-corralesvilla11,1277,1270,C53,"[43, 40, 32, 32, 42, 29, 41, 20, 96, 25, 64, -57, 521, 539, 645, 637, 712, 655, 1000, 1000, 1000, 1000, 1000, 938, 1000, 956, 1000, 617, 1000, 1000, 1000]"
6,2021.04.10,sureshtanneru,Soksky327,2053,2117,B10,"[35, 37, 72, 18, 16, -12, 61, 39, 40, -38, -30, -38, -41, -32, -32, -130, -27, -32, 29, -248, -234, -309, -185, -210, -179, -183, -158, -162, -31, -61, 33, 36, 703, 679]"
8,2021.04.10,elmasgrande,TTV_ItsExalted,2205,1978,D37,"[25, 23, 26, 27, 25, 31, 27, 32, 59, 31, 496, 520, 513, 439, 585, 531, 651, 685, 671, 706, 740, 745, 789, 760, 766, 795, 908, 847, 864, 820, 895, 864, 847, 931, 948, 905, 888, 807, 922, 837, 992, 866, 926, 945, 921, 816, 777, 730, 805, 794, 819, 784, 837, 818, 911, 908, 935, 1000, 1000, 1000, 1000, -1000]"
10,2021.04.10,Rob14,Divyanshu2008,2349,2312,A05,"[28, 15, 29, -24, 39, 46, 151, 145, 157, 117, 167, 162, 170, 96, 130, 103, 171, 151, 182, 118, 284, 279, 277, 130, 322, 280, 321, 306, 631, 602, 1000, 1000, 1000, 1000, 1000, 1000]"
11,2021.04.10,McPert_John,jonashacker1,2602,2428,B35,"[33, 28, 67, 80, 65, 65, 97, 33, 45, 32, 22, 19, 23, 5, 12, -4, 40, -4, 17, 23, 11, 3, 59, -49, 91, -62, 28, 22, 33, -23, 119, -20, -30, -29, -25, -33, 21, 19, 24, 24, 25, -20, 319, 357, 443, 464, 487, 528, 564, 514, 563, 550, 581, 574, 606, 553, 558, 531, 572, 579, 599, 596, 593, 612, 661, 607, 608, 565, 625, 583, 667, 656]"
13,2021.04.10,Amir_HD_2006,VadimCernov,2475,2595,A07,"[32, -5, 20, -17, 32, 31, 29, 25, 13, 3, 44, 31, 48, 49, 65, -73, 98, 65, 143, 27, 25, -137, -160, -153, -135, -162, -179, -259, -235, -233, -244, -269, -281, -302, -273]"
14,2021.04.10,PaBr,KungFuChess01,2348,2344,B22,"[20, 33, 34, 27, 43, 48, 62, 76, 89, 81, 100, 81, 80, 47, 65, 34, 71, -22, 47, 33, 133, 125, 132, 102, 127, 115, 128, 122, 97, 112, 154, 146, 111, 109, 109, 113, 115, 127, 194, 44, 59, 52, 67, 19, 83, -48, -50, -76, 339, -280, -250, -425, -452, -459]"
16,2021.04.10,julien211003,XadrezLiceu1,2434,2404,E62,"[26, 17, 29, 28, 23, 16, 7, 14, 24, 12, 53, 50, 46, 40, 66, 59, 92, -14, 10, 18, 119, -46, 57, -15, 0, 0, -6, -95, -91, -135, -145, -134, -43, -214, -243, -260, -213, -218, -146, -161, -23, -113, -88, -124, -52, -100, -48, -88, -80, -213, -180, -204, -179, -228, -243, -211, -126, -134, -123, -128, -126, -137, -68, -140, -105, -158]"
19,2021.04.10,deadrock121,jjcs_pt,1753,1859,B80,"[32, 37, 34, 39, 44, 59, 52, 50, 52, 38, 68, 52, 86, 16, 63, -50, -50, -55, -58, -70, -60, -95, -115, -114, -81, -202, -96, -206, -199, -255, -270, -302, -314, -326, -322, -391, -415, -368, -183, -202, -97, -70, 217, -471, -469, -504, -518, -483, -506, -558, -491, -603, -584, -789, -749, -919, -870, -959, -818, -841]"
